epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2485.94,1.50356,0.93139,1.00315,0.77963,0.73774,0.71164,0.45142,1.55175,1.00647,1.00979,0.00050606,0.00050606,0.00050606
57,2529.34,1.48908,0.9275,1.00627,0.77163,0.75332,0.72811,0.45714,1.57939,0.98834,1.0163,0.000495062,0.000495062,0.000495062
58,2572.5,1.51261,0.93869,1.01465,0.7467,0.76085,0.72152,0.45059,1.56426,0.9915,1.01196,0.000484063,0.000484063,0.000484063
59,2615.59,1.46691,0.91861,1.00152,0.75869,0.75357,0.7219,0.46099,1.54665,0.99855,1.00831,0.000473064,0.000473064,0.000473064
60,2658.78,1.49042,0.93283,1.0118,0.78399,0.74273,0.71624,0.45565,1.52738,0.99974,1.00167,0.000462065,0.000462065,0.000462065
61,2702.1,1.48748,0.91791,0.99937,0.76457,0.75429,0.71307,0.45134,1.54031,1.00608,1.00869,0.000451066,0.000451066,0.000451066
62,2745.29,1.47692,0.90485,0.99978,0.78034,0.74969,0.71646,0.45142,1.5542,1.0048,1.01031,0.000440067,0.000440067,0.000440067
63,2788.56,1.45535,0.89231,0.99206,0.77584,0.73831,0.71602,0.45497,1.54083,1.00513,1.00629,0.000429068,0.000429068,0.000429068
64,46.9187,1.45839,0.89467,0.99348,0.77147,0.74441,0.70852,0.45624,1.53906,0.98931,1.00655,0.000418069,0.000418069,0.000418069
65,93.0353,1.45609,0.88483,0.98907,0.76004,0.74496,0.71784,0.4551,1.53938,0.99533,1.00493,0.00040707,0.00040707,0.00040707
66,138.987,1.45254,0.88408,0.9917,0.76012,0.75061,0.70821,0.44647,1.55377,1.02389,1.00787,0.000396071,0.000396071,0.000396071
67,184.896,1.46582,0.88659,0.9908,0.75811,0.7506,0.71188,0.45376,1.52582,0.9935,0.99979,0.000385073,0.000385073,0.000385073
68,230.616,1.43112,0.86431,0.98506,0.77597,0.74317,0.71474,0.4585,1.54038,0.9965,1.00198,0.000374074,0.000374074,0.000374074
69,276.245,1.44941,0.88581,0.99167,0.75639,0.74353,0.70693,0.44903,1.52266,0.99206,1.0013,0.000363075,0.000363075,0.000363075
70,321.153,1.4376,0.88536,0.99341,0.77042,0.737,0.72882,0.46227,1.5569,0.99825,1.00656,0.000352076,0.000352076,0.000352076
71,365.926,1.44585,0.87536,0.98989,0.76962,0.74621,0.71837,0.45554,1.54644,0.99849,1.00519,0.000341077,0.000341077,0.000341077
72,411.273,1.43793,0.87825,0.99315,0.7819,0.75298,0.72318,0.46075,1.55254,0.99607,1.00993,0.000330078,0.000330078,0.000330078
73,456.388,1.43067,0.86693,0.98532,0.78455,0.75053,0.72477,0.46588,1.5204,0.99675,1.00201,0.000319079,0.000319079,0.000319079
